STATE,PC,ST_CODE,PC_CODE,KEY,PC_NAME,ST_ABBR,ST_NAME,2014-Schedule,2014-Star-Candidate,2014-Star-Candidate-Name,Hindi-speaking,Bi-polar,Rural,SC,ST,Muslim,2009-pc-turnout,2009-Turnout,2009-Party,2009-Margin,2014-pc-turnout,2014-Turnout,2014-Nota
CHHATTISGARH,KANKER,S26,11,S26-11,KANKER,CG,CHHATTISGARH,17-Apr,,,Hindi,Bi-polar,Rural,< 10%,30-50%,< 10%,57.20%,50-60%,BJP,2-5%,65%,60-70%,2-5%
CHHATTISGARH,MAHASAMUND,S26,9,S26-9,MAHASAMUND,CG,CHHATTISGARH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,56.69%,50-60%,BJP,5-10%,64%,60-70%,0.5-1%
CHHATTISGARH,RAJNANDGAON,S26,6,S26-6,RAJNANDGAON,CG,CHHATTISGARH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,58.86%,50-60%,BJP,10-20%,70%,70-80%,0.5-1%
JAMMU & KASHMIR,UDHAMPUR,S09,5,S09-5,UDHAMPUR,JK,JAMMU & KASHMIR,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,20-40%,44.88%,< 50%,CONG,2-5%,69.08%,60-70%,1-2%
JHARKHAND,GIRIDIH,S27,6,S27-6,GIRIDIH,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Urban,10-20%,10-30%,10-20%,45.98%,< 50%,BJP,10-20%,62%,60-70%,0.5-1%
JHARKHAND,HAZARIBAGH,S27,14,S27-14,HAZARIBAGH,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Urban,10-20%,10-30%,10-20%,53.08%,50-60%,BJP,5-10%,61%,60-70%,0.5-1%
JHARKHAND,JAMSHEDPUR,S27,9,S27-9,JAMSHEDPUR,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Rural,< 10%,30-50%,< 10%,51.12%,50-60%,BJP,10-20%,65%,60-70%,1-2%
JHARKHAND,KHUNTI,S27,11,S27-11,KHUNTI,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Rural,< 10%,50%+,,52.03%,50-60%,BJP,10-20%,61%,60-70%,2-5%
JHARKHAND,RANCHI,S27,8,S27-8,RANCHI,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Rural,< 10%,30-50%,10-20%,44.56%,< 50%,CONG,< 2%,59%,50-60%,0.5-1%
JHARKHAND,SINGHBHUM,S27,10,S27-10,SINGHBHUM,JH,JHARKHAND,17-Apr,,,Hindi,Rest,Rural,< 10%,50%+,< 10%,60.77%,60-70%,IND,10-20%,62%,60-70%,2-5%
KARNATAKA,BAGALKOT,S10,3,S10-3,BAGALKOT,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,63.09%,60-70%,BJP,2-5%,68.88%,60-70%,1-2%
KARNATAKA,BANGALORE CENTRAL,S10,25,S10-25,BANGALORE CENTRAL,KA,KARNATAKA,17-Apr,,,Rest,Rest,Urban,10-20%,< 10%,< 10%,44.55%,< 50%,BJP,2-5%,55.70%,50-60%,0.5-1%
KARNATAKA,BANGALORE NORTH,S10,24,S10-24,BANGALORE NORTH,KA,KARNATAKA,17-Apr,,,Rest,Rest,Urban,10-20%,< 10%,< 10%,46.72%,< 50%,BJP,5-10%,56.47%,50-60%,0.5-1%
KARNATAKA,BANGALORE RURAL,S10,23,S10-23,BANGALORE RURAL,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,57.92%,50-60%,JDS,10-20%,68.80%,60-70%,0.5-1%
KARNATAKA,BANGALORE SOUTH,S10,26,S10-26,BANGALORE SOUTH,KA,KARNATAKA,17-Apr,,,Rest,Rest,Urban,< 10%,< 10%,< 10%,44.76%,< 50%,BJP,2-5%,55.69%,50-60%,0.5-1%
KARNATAKA,BELGAUM,S10,2,S10-2,BELGAUM,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,10-20%,54.75%,50-60%,BJP,10-20%,68.43%,60-70%,1-2%
KARNATAKA,BELLARY,S10,9,S10-9,BELLARY,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,10-20%,61.44%,60-70%,BJP,< 2%,70.30%,70-80%,1-2%
KARNATAKA,BIDAR,S10,7,S10-7,BIDAR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,10-20%,52.99%,50-60%,CONG,5-10%,60.15%,60-70%,< 0.5%
KARNATAKA,BIJAPUR,S10,4,S10-4,BIJAPUR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,47.29%,< 50%,BJP,5-10%,59.71%,50-60%,0.5-1%
KARNATAKA,CHAMARAJANAGAR,S10,22,S10-22,CHAMARAJANAGAR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,20-30%,10-30%,< 10%,67.91%,60-70%,CONG,< 2%,72.81%,70-80%,1-2%
KARNATAKA,CHIKBALLAPUR,S10,27,S10-27,CHIKKBALLAPUR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,< 10%,68.09%,60-70%,CONG,5-10%,76.06%,70-80%,0.5-1%
KARNATAKA,CHIKKODI,S10,1,S10-1,CHIKKODI,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,67.56%,60-70%,BJP,5-10%,74.58%,70-80%,< 0.5%
KARNATAKA,CHITRADURGA,S10,18,S10-18,CHITRADURGA,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,20-30%,10-30%,< 10%,54.49%,50-60%,BJP,10-20%,66.07%,60-70%,0.5-1%
KARNATAKA,DAKSHINA KANNADA,S10,17,S10-17,DAKSHINA KANNADA,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,10-20%,74.45%,70-80%,BJP,2-5%,77.18%,70-80%,0.5-1%
KARNATAKA,DAVANGERE,S10,13,S10-13,DAVANAGERE,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,10-20%,67.46%,60-70%,BJP,< 2%,73.20%,70-80%,< 0.5%
KARNATAKA,DHARWAD,S10,11,S10-11,DHARWAD,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,10-20%,56.55%,50-60%,BJP,10-20%,65.95%,60-70%,1-2%
KARNATAKA,GULBARGA,S10,5,S10-5,GULBARGA,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,20-30%,< 10%,10-20%,49.21%,< 50%,CONG,< 2%,57.90%,50-60%,0.5-1%
KARNATAKA,HASSAN,S10,16,S10-16,HASSAN,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,69.17%,60-70%,JDS,20%+,73.50%,70-80%,0.5-1%
KARNATAKA,HAVERI,S10,10,S10-10,HAVERI,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,63.59%,60-70%,BJP,10-20%,71.60%,70-80%,< 0.5%
KARNATAKA,KOLAR,S10,28,S10-28,KOLAR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,20-30%,< 10%,10-20%,69.15%,60-70%,CONG,2-5%,75.50%,70-80%,< 0.5%
KARNATAKA,KOPPAL,S10,8,S10-8,KOPPAL,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,10-30%,10-20%,55.40%,50-60%,BJP,10-20%,65.59%,60-70%,1-2%
KARNATAKA,MANDYA,S10,20,S10-20,MANDYA,KA,KARNATAKA,17-Apr,Star,Ramya (Cong),Rest,Rest,Rural,10-20%,< 10%,< 10%,68.83%,60-70%,JDS,2-5%,71.42%,70-80%,< 0.5%
KARNATAKA,MYSORE,S10,21,S10-21,MYSORE,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,58.88%,50-60%,CONG,< 2%,66.53%,60-70%,0.5-1%
KARNATAKA,RAICHUR,S10,6,S10-6,RAICHUR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,10-20%,45.92%,< 50%,BJP,2-5%,58.27%,50-60%,1-2%
KARNATAKA,SHIMOGA,S10,14,S10-14,SHIMOGA,KA,KARNATAKA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,66.47%,60-70%,BJP,5-10%,72.31%,70-80%,0.5-1%
KARNATAKA,TUMKUR,S10,19,S10-19,TUMKUR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,64.80%,60-70%,BJP,2-5%,72.50%,70-80%,1-2%
KARNATAKA,UDUPI CHIKMAGALUR,S10,15,S10-15,UDUPI CHIKMAGALUR,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,68.22%,60-70%,BJP,2-5%,74.46%,70-80%,0.5-1%
KARNATAKA,UTTARA KANNADA,S10,12,S10-12,UTTARA KANNADA,KA,KARNATAKA,17-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,59.09%,50-60%,BJP,2-5%,69.20%,60-70%,1-2%
MADHYA PRADESH,BHIND,S12,2,S12-2,BHIND,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,20-30%,< 10%,< 10%,38.39%,< 50%,BJP,2-5%,45.16%,< 50%,0.5-1%
MADHYA PRADESH,BHOPAL,S12,19,S12-19,BHOPAL,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Urban,10-20%,< 10%,< 10%,45.07%,< 50%,BJP,5-10%,58.42%,50-60%,< 0.5%
MADHYA PRADESH,DAMOH,S12,7,S12-7,DAMOH,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,44.12%,< 50%,BJP,10-20%,54.06%,50-60%,1-2%
MADHYA PRADESH,GUNA,S12,4,S12-4,GUNA,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,54.03%,50-60%,CONG,20%+,61%,60-70%,1-2%
MADHYA PRADESH,GWALIOR,S12,3,S12-3,GWALIOR,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Semi Urban,10-20%,< 10%,< 10%,41.12%,< 50%,BJP,2-5%,50.78%,50-60%,< 0.5%
MADHYA PRADESH,KHAJURAHO,S12,8,S12-8,KHAJURAHO,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,43.21%,< 50%,BJP,2-5%,50.11%,50-60%,0.5-1%
MADHYA PRADESH,MORENA,S12,1,S12-1,MORENA,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,53.04%,50-60%,BJP,10-20%,51.67%,50-60%,0.5-1%
MADHYA PRADESH,RAJGARH,S12,20,S12-20,RAJGARH,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,51.57%,50-60%,CONG,2-5%,63.40%,60-70%,1-2%
MADHYA PRADESH,SAGAR,S12,5,S12-5,SAGAR,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Semi Urban,20-30%,< 10%,< 10%,48.12%,< 50%,BJP,20%+,59.08%,50-60%,1-2%
MADHYA PRADESH,TIKAMGARH,S12,6,S12-6,TIKAMGARH,MP,MADHYA PRADESH,17-Apr,,,Hindi,Bi-polar,Rural,20-30%,< 10%,< 10%,43.42%,< 50%,BJP,5-10%,50.67%,50-60%,1-2%
MAHARASHTRA,AHMEDNAGAR,S13,37,S13-37,AHMEDNAGAR,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,51.84%,50-60%,BJP,5-10%,60%,60-70%,0.5-1%
MAHARASHTRA,BARAMATI,S13,35,S13-35,BARAMATI,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,46.07%,< 50%,NCP,20%+,58.20%,50-60%,1-2%
MAHARASHTRA,BEED,S13,39,S13-39,BEED,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,65.60%,60-70%,BJP,10-20%,64%,60-70%,< 0.5%
MAHARASHTRA,HATKANANGLE,S13,48,S13-48,HATKANANGLE,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,67.07%,60-70%,SWP,5-10%,67%,60-70%,0.5-1%
MAHARASHTRA,HINGOLI,S13,15,S13-15,HINGOLI,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,10-30%,< 10%,59.68%,50-60%,SS,5-10%,63%,60-70%,< 0.5%
MAHARASHTRA,KOLHAPUR,S13,47,S13-47,KOLHAPUR,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,64.93%,60-70%,IND,2-5%,68%,60-70%,0.5-1%
MAHARASHTRA,LATUR,S13,41,S13-41,LATUR,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,54.93%,50-60%,CONG,< 2%,62%,60-70%,1-2%
MAHARASHTRA,MADHA,S13,43,S13-43,MADHA,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,59.04%,50-60%,NCP,20%+,62%,60-70%,< 0.5%
MAHARASHTRA,MAVAL,S13,33,S13-33,MAVAL,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,< 10%,44.71%,< 50%,SS,10-20%,63.10%,60-70%,0.5-1%
MAHARASHTRA,NANDED,S13,16,S13-16,NANDED,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,53.83%,50-60%,CONG,5-10%,63%,60-70%,< 0.5%
MAHARASHTRA,OSMANABAD,S13,40,S13-40,OSMANABAD,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,57.47%,50-60%,NCP,< 2%,65%,60-70%,< 0.5%
MAHARASHTRA,PARBHANI,S13,17,S13-17,PARBHANI,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,54.08%,50-60%,SS,5-10%,62%,60-70%,1-2%
MAHARASHTRA,PUNE,S13,34,S13-34,PUNE,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Urban,10-20%,< 10%,10-20%,40.66%,< 50%,CONG,2-5%,58.75%,50-60%,0.5-1%
MAHARASHTRA,RATNAGIRI,S13,46,S13-46,RATNAGIRI SINDHUDURG,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,57.39%,50-60%,CONG,5-10%,60%,60-70%,1-2%
MAHARASHTRA,SANGLI,S13,44,S13-44,SANGLI,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,52.12%,50-60%,CONG,5-10%,62%,60-70%,0.5-1%
MAHARASHTRA,SATARA,S13,45,S13-45,SATARA,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,52.82%,50-60%,NCP,20%+,57%,50-60%,1-2%
MAHARASHTRA,SHIRDI,S13,38,S13-38,SHIRDI,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Rural,10-20%,10-30%,< 10%,50.37%,50-60%,SS,10-20%,61%,60-70%,1-2%
MAHARASHTRA,SHIRUR,S13,36,S13-36,SHIRUR,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,< 10%,51.45%,50-60%,SS,20%+,59.02%,50-60%,1-2%
MAHARASHTRA,SHOLAPUR,S13,42,S13-42,SOLAPUR,MH,MAHARASHTRA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,46.62%,< 50%,CONG,10-20%,57%,50-60%,1-2%
MANIPUR,INNER MANIPUR,S14,1,S14-1,INNER MANIPUR,MN,MANIPUR,17-Apr,,,Rest,Rest,Rural,< 10%,< 10%,10-20%,70.54%,70-80%,CONG,5-10%,75%,70-80%,0.5-1%
ORISSA,BALASORE,S18,6,S18-6,BALASORE,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,10-20%,10-30%,< 10%,70.29%,70-80%,CONG,2-5%,71.89%,70-80%,0.5-1%
ORISSA,BHADRAK,S18,7,S18-7,BHADRAK,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,< 10%,67.71%,60-70%,BJD,5-10%,75%,70-80%,0.5-1%
ORISSA,BHUBANESWAR,S18,18,S18-18,BHUBANESWAR,OD,ORISSA,17-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,49.14%,< 50%,BJD,20%+,44%,< 50%,0.5-1%
ORISSA,CUTTACK,S18,14,S18-14,CUTTACK,OD,ORISSA,17-Apr,Star,Aparajita Mohanty (Cong),Rest,Rest,Semi Urban,10-20%,< 10%,< 10%,63.38%,60-70%,BJD,20%+,70%,70-80%,0.5-1%
ORISSA,DHENKANAL,S18,9,S18-9,DHENKANAL,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,66.74%,60-70%,BJD,20%+,76%,70-80%,1-2%
ORISSA,JAGATSINGHPUR,S18,16,S18-16,JAGATSINGHPUR,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,< 10%,67.56%,60-70%,CPI,5-10%,75.20%,70-80%,0.5-1%
ORISSA,JAJPUR,S18,8,S18-8,JAJPUR,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,< 10%,66.59%,60-70%,BJD,10-20%,75.22%,70-80%,0.5-1%
ORISSA,KENDRAPARA,S18,15,S18-15,KENDRAPARA,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,20-30%,< 10%,< 10%,68.53%,60-70%,BJD,10-20%,72.91%,70-80%,0.5-1%
ORISSA,KEONJHAR,S18,4,S18-4,KEONJHAR,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,10-20%,30-50%,,70.48%,70-80%,BJD,10-20%,72%,70-80%,2-5%
ORISSA,MAYURBHANJ,S18,5,S18-5,MAYURBHANJ,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,< 10%,50%+,,70.27%,70-80%,BJD,5-10%,82%,80%+,2-5%
ORISSA,PURI,S18,17,S18-17,PURI,OD,ORISSA,17-Apr,,,Rest,Rest,Rural,10-20%,< 10%,,68.83%,60-70%,BJD,20%+,73.95%,70-80%,0.5-1%
RAJASTHAN,AJMER,S20,13,S20-13,AJMER,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,10-20%,< 10%,< 10%,52.99%,50-60%,CONG,5-10%,68.50%,60-70%,1-2%
RAJASTHAN,BANSWARA,S20,20,S20-20,BANSWARA,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,< 10%,50%+,< 10%,52.79%,50-60%,CONG,20%+,68.82%,60-70%,2-5%
RAJASTHAN,BARMER,S20,17,S20-17,BARMER,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,10-20%,54.47%,50-60%,CONG,10-20%,72.43%,70-80%,1-2%
RAJASTHAN,BHILWARA,S20,23,S20-23,BHILWARA,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,50.54%,50-60%,CONG,10-20%,62.84%,60-70%,1-2%
RAJASTHAN,BIKANER,S20,2,S20-2,BIKANER,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,20-30%,< 10%,< 10%,41.25%,< 50%,BJP,2-5%,58.35%,50-60%,1-2%
RAJASTHAN,CHITTORGARH,S20,21,S20-21,CHITTORGARH,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,49.64%,< 50%,CONG,5-10%,64.30%,60-70%,1-2%
RAJASTHAN,CHURU,S20,3,S20-3,CHURU,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,20-30%,< 10%,10-20%,52.41%,50-60%,BJP,< 2%,64.48%,60-70%,1-2%
RAJASTHAN,GANGANAGAR,S20,1,S20-1,GANGANAGAR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,30%+,< 10%,< 10%,60.97%,60-70%,CONG,10-20%,72.85%,70-80%,0.5-1%
RAJASTHAN,JAIPUR,S20,7,S20-7,JAIPUR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Urban,10-20%,< 10%,< 10%,48.26%,< 50%,CONG,< 2%,66.08%,60-70%,0.5-1%
RAJASTHAN,JAIPUR RURAL,S20,6,S20-6,JAIPUR RURAL,RJ,RAJASTHAN,17-Apr,Star,Rajyavardhan Singh Rathore (BJP),Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,47.54%,< 50%,CONG,5-10%,59.47%,50-60%,1-2%
RAJASTHAN,JALORE,S20,18,S20-18,JALORE,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,37.98%,< 50%,BJP,5-10%,59.60%,50-60%,1-2%
RAJASTHAN,JHALAWAR,S20,25,S20-25,JHALAWAR-BARAN,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,60.29%,60-70%,BJP,5-10%,68.66%,60-70%,1-2%
RAJASTHAN,JHUN JHUNU,S20,4,S20-4,JHUNJHUNU,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,42.03%,< 50%,CONG,10-20%,60%,60-70%,0.5-1%
RAJASTHAN,JODHPUR,S20,16,S20-16,JODHPUR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,10-20%,< 10%,< 10%,45.23%,< 50%,CONG,10-20%,62.22%,60-70%,1-2%
RAJASTHAN,KOTA,S20,24,S20-24,KOTA,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Semi Urban,10-20%,10-30%,10-20%,45.53%,< 50%,CONG,10-20%,65.96%,60-70%,1-2%
RAJASTHAN,NAGAUR,S20,14,S20-14,NAGAUR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,10-20%,41.03%,< 50%,CONG,20%+,59.78%,50-60%,1-2%
RAJASTHAN,PALI,S20,15,S20-15,PALI,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,42.96%,< 50%,CONG,20%+,57.47%,50-60%,1-2%
RAJASTHAN,RAJSAMAND,S20,22,S20-22,RAJSAMAND,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,39.68%,< 50%,CONG,5-10%,57.59%,50-60%,1-2%
RAJASTHAN,SIKAR,S20,5,S20-5,SIKAR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,10-20%,< 10%,< 10%,48.10%,< 50%,CONG,20%+,60.23%,60-70%,0.5-1%
RAJASTHAN,UDAIPUR,S20,19,S20-19,UDAIPUR,RJ,RAJASTHAN,17-Apr,,,Hindi,Bi-polar,Rural,< 10%,50%+,< 10%,48.49%,< 50%,CONG,20%+,65.42%,60-70%,2-5%
UTTAR PRADESH,AMROHA,S24,9,S24-9,AMROHA,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,60.20%,60-70%,RLD,10-20%,67.85%,60-70%,0.5-1%
UTTAR PRADESH,AONLA,S24,24,S24-24,AONLA,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,53.78%,50-60%,BJP,< 2%,60.40%,60-70%,1-2%
UTTAR PRADESH,BADAUN,S24,23,S24-23,BADAUN,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,52.45%,50-60%,SP,2-5%,59.40%,50-60%,0.5-1%
UTTAR PRADESH,BAREILLY,S24,25,S24-25,BAREILLY,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,20-40%,50.36%,50-60%,CONG,< 2%,63.50%,60-70%,0.5-1%
UTTAR PRADESH,KHERI,S24,28,S24-28,KHERI,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,10-20%,54.59%,50-60%,CONG,< 2%,64.41%,60-70%,1-2%
UTTAR PRADESH,MORADABAD,S24,6,S24-6,MORADABAD,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,40%+,54.82%,50-60%,CONG,5-10%,67.38%,60-70%,< 0.5%
UTTAR PRADESH,NAGINA,S24,5,S24-5,NAGINA,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Semi Urban,20-30%,< 10%,20-40%,53.78%,50-60%,SP,5-10%,64.80%,60-70%,0.5-1%
UTTAR PRADESH,PILIBHIT,S24,26,S24-26,PILIBHIT,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,63.96%,60-70%,BJP,20%+,61.90%,60-70%,1-2%
UTTAR PRADESH,RAMPUR,S24,7,S24-7,RAMPUR,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,40%+,52.50%,50-60%,SP,5-10%,61.03%,60-70%,0.5-1%
UTTAR PRADESH,SAMBHAL,S24,8,S24-8,SAMBHAL,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,52.83%,50-60%,BSP,< 2%,61.03%,60-70%,0.5-1%
UTTAR PRADESH,SHAHJAHANPUR,S24,27,S24-27,SHAHJAHANPUR,UP,UTTAR PRADESH,17-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,10-20%,48.68%,< 50%,SP,5-10%,58.90%,50-60%,0.5-1%
WEST BENGAL,ALIPURDUARS,S25,2,S25-2,ALIPURDUARS,WB,WEST BENGAL,17-Apr,,,Rest,Rest,Rural,20-30%,10-30%,< 10%,75.96%,70-80%,RSP,10-20%,79.40%,70-80%,1-2%
WEST BENGAL,COOCH BEHAR,S25,1,S25-1,COOCHBEHAR,WB,WEST BENGAL,17-Apr,,,Rest,Rest,Rural,30%+,< 10%,20-40%,84.35%,80%+,AIFB,2-5%,80.69%,80%+,0.5-1%
WEST BENGAL,DARJEELING,S25,4,S25-4,DARJEELING,WB,WEST BENGAL,17-Apr,Star,Baichung Bhutia (TMC),Rest,Rest,Semi Urban,10-20%,10-30%,10-20%,79.51%,70-80%,BJP,20%+,76%,70-80%,1-2%
WEST BENGAL,JALPAIGURI,S25,3,S25-3,JALPAIGURI,WB,WEST BENGAL,17-Apr,,,Rest,Rest,Rural,30%+,< 10%,10-20%,82.36%,80%+,CPM,5-10%,80.60%,80%+,1-2%
ASSAM,BARPETA,S03,6,S03-6,BARPETA,AS,ASSAM,24-Apr,,,Rest,Rest,Rural,< 10%,< 10%,20-40%,72.70%,70-80%,CONG,2-5%,69%,60-70%,< 0.5%
ASSAM,DHUBRI,S03,4,S03-4,DHUBRI,AS,ASSAM,24-Apr,,,Rest,Rest,Rural,< 10%,< 10%,40%+,76.31%,70-80%,AUDF,10-20%,75%,70-80%,< 0.5%
ASSAM,GAUHATI,S03,7,S03-7,GAUHATI,AS,ASSAM,24-Apr,,,Rest,Rest,Urban,< 10%,10-30%,20-40%,64.46%,60-70%,BJP,< 2%,73%,70-80%,< 0.5%
